Metric,Strategy,Benchmark,Difference
Total_Return,-0.22219689811978405,0.1565688164815604,-0.37876571460134445
Annualized_Return,-0.2397634738837452,0.17196418608333763,-0.4117276599670828
Annualized_Volatility,0.4860248023964226,0.4822037498684242,0.003821052527998414
Sharpe_Ratio,-0.5344654688463224,0.31514517696057553,-0.8496106458068979
Sortino_Ratio,-1.1495744553865492,0.4605748244798456,-1.6101492798663948
Max_Drawdown,-0.4736040386405199,-0.2247410967444431,-0.24886294189607683
Win_Rate,0.45454545454545453,0.5454545454545454,-0.09090909090909088
Total_Trades,11.0,11.0,0.0
Profit_Factor,0.7796185770989497,1.5053999819516253,-0.7257814048526756
Avg_Return_Per_Trade,-0.01374802357856539,0.02236745612482215,-0.03611547970338754
Strategy_Type,directional,,
Transaction_Cost,0.001,,
Slippage,0.0005,,
Position_Size,1,,
Risk_Free_Rate,0.02,,
Threshold_SD_Multiple,0.5,,
